age,year,mx
35,2099,0.00037
35,2100,0.00037
36,2022,0.00063
36,2023,0.00061
36,2024,6e-04
36,2025,0.00059
36,2026,0.00059
36,2027,0.00059
36,2028,0.00058
36,2029,0.00058
36,2030,0.00058
36,2031,0.00057
36,2032,0.00057
36,2033,0.00057
36,2034,0.00056
36,2035,0.00056
36,2036,0.00056
36,2037,0.00055
36,2038,0.00055
36,2039,0.00055
36,2040,0.00054
36,2041,0.00054
36,2042,0.00054
36,2043,0.00053
36,2044,0.00053
36,2045,0.00053
36,2046,0.00052
36,2047,0.00052
36,2048,0.00052
36,2049,0.00052
36,2050,0.00051
36,2051,0.00051
36,2052,0.00051
36,2053,5e-04
36,2054,5e-04
36,2055,5e-04
36,2056,0.00049
36,2057,0.00049
36,2058,0.00049
36,2059,0.00049
36,2060,0.00048
36,2061,0.00048
36,2062,0.00048
36,2063,0.00047
36,2064,0.00047
36,2065,0.00047
36,2066,0.00047
36,2067,0.00046
36,2068,0.00046
36,2069,0.00046
36,2070,0.00046
36,2071,0.00045
36,2072,0.00045
36,2073,0.00045
36,2074,0.00044
36,2075,0.00044
36,2076,0.00044
36,2077,0.00044
36,2078,0.00043
36,2079,0.00043
36,2080,0.00043
36,2081,0.00043
36,2082,0.00042
36,2083,0.00042
36,2084,0.00042
36,2085,0.00042
36,2086,0.00041
36,2087,0.00041
36,2088,0.00041
36,2089,0.00041
36,2090,0.00041
36,2091,4e-04
36,2092,4e-04
36,2093,4e-04
36,2094,4e-04
36,2095,0.00039
36,2096,0.00039
36,2097,0.00039
36,2098,0.00039
36,2099,0.00038
36,2100,0.00038
37,2022,0.00068
37,2023,0.00066
37,2024,0.00064
37,2025,0.00064
37,2026,0.00063
37,2027,0.00063
37,2028,0.00063
37,2029,0.00062
37,2030,0.00062
37,2031,0.00061
37,2032,0.00061
37,2033,0.00061
37,2034,6e-04
37,2035,6e-04
37,2036,6e-04
37,2037,0.00059
37,2038,0.00059
37,2039,0.00059
37,2040,0.00058
37,2041,0.00058
37,2042,0.00058
37,2043,0.00057
37,2044,0.00057
37,2045,0.00057
37,2046,0.00056
37,2047,0.00056
37,2048,0.00056
37,2049,0.00056
37,2050,0.00055
37,2051,0.00055
37,2052,0.00055
37,2053,0.00054
37,2054,0.00054
37,2055,0.00054
37,2056,0.00053
37,2057,0.00053
37,2058,0.00053
37,2059,0.00052
37,2060,0.00052
37,2061,0.00052
37,2062,0.00052
37,2063,0.00051
37,2064,0.00051
37,2065,0.00051
37,2066,5e-04
37,2067,5e-04
37,2068,5e-04
37,2069,5e-04
37,2070,0.00049
37,2071,0.00049
37,2072,0.00049
37,2073,0.00048
37,2074,0.00048
37,2075,0.00048
