ssp,age,sex,period,assr,CNTR_CODE,cntr_name
3,40--44,Female,2045-2050,0.997,AT,Austria
1,15--19,Male,2025-2030,0.998,AT,Austria
1,25--29,Female,1985-1990,0.998,AT,Austria
1,35--39,Male,1950-1955,0.983,AT,Austria
2,70--74,Male,2085-2090,0.989,AT,Austria
2,80--84,Female,2045-2050,0.841,AT,Austria
3,0--4,Male,2065-2070,1,AT,Austria
2,90--94,Male,2010-2015,0.226,AT,Austria
2,100+,Female,1970-1975,0,AT,Austria
3,35--39,Female,2070-2075,0.999,AT,Austria
3,45--49,Male,2035-2040,0.987,AT,Austria
3,55--59,Female,1995-2000,0.972,AT,Austria
1,20--24,Female,2010-2015,0.999,AT,Austria
3,65--69,Male,1960-1965,0.764,AT,Austria
2,75--79,Female,2070-2075,0.982,AT,Austria
2,85--89,Male,2035-2040,0.515,AT,Austria
1,80--84,Male,2065-2070,0.944,AT,Austria
3,30--34,Female,2095-2100,1,AT,Austria
2,Newborn,Female,1960-1965,0.971,AT,Austria
3,40--44,Male,2060-2065,0.994,AT,Austria
3,50--54,Female,2020-2025,0.987,AT,Austria
3,60--64,Male,1985-1990,0.883,AT,Austria
1,25--29,Male,2000-2005,0.996,AT,Austria
2,70--74,Female,2095-2100,1,AT,Austria
2,80--84,Male,2060-2065,0.827,AT,Austria
2,90--94,Female,2020-2025,0.299,AT,Austria
3,0--4,Female,2075-2080,1,AT,Austria
2,100+,Male,1985-1990,0,AT,Austria
2,0--4,Male,1950-1955,0.991,AT,Austria
1,10--14,Female,2060-2065,1,AT,Austria
3,45--49,Female,2045-2050,0.995,AT,Austria
1,20--24,Male,2025-2030,0.998,AT,Austria
1,30--34,Female,1985-1990,0.996,AT,Austria
1,40--44,Male,1950-1955,0.974,AT,Austria
2,75--79,Male,2085-2090,0.974,AT,Austria
2,85--89,Female,2045-2050,0.665,AT,Austria
3,5--9,Male,2065-2070,1,AT,Austria
2,95--99,Male,2010-2015,0.098,AT,Austria
2,Newborn,Male,1975-1980,0.981,AT,Austria
3,40--44,Female,2070-2075,0.998,AT,Austria
3,50--54,Male,2035-2040,0.979,AT,Austria
3,60--64,Female,1995-2000,0.956,AT,Austria
1,25--29,Female,2010-2015,0.999,AT,Austria
3,70--74,Male,1960-1965,0.665,AT,Austria
2,80--84,Female,2070-2075,0.943,AT,Austria
2,90--94,Male,2035-2040,0.303,AT,Austria
1,85--89,Male,2065-2070,0.835,AT,Austria
3,35--39,Female,2095-2100,0.999,AT,Austria
2,0--4,Female,1960-1965,0.996,AT,Austria
3,45--49,Male,2060-2065,0.99,AT,Austria
3,55--59,Female,2020-2025,0.981,AT,Austria
3,65--69,Male,1985-1990,0.826,AT,Austria
1,30--34,Male,2000-2005,0.995,AT,Austria
2,75--79,Female,2095-2100,0.999,AT,Austria
