ssp,age,sex,year,pop,CNTR_CODE,cntr_name
2,55--59,Female,2065,264.1,AT,Austria
2,65--69,Female,2040,294.7,AT,Austria
2,75--79,Female,2015,181.5,AT,Austria
1,40--44,Female,1980,244.3,AT,Austria
2,85--89,Female,1990,56.6,AT,Austria
2,95--99,Female,1965,0.6,AT,Austria
1,All,Both,2100,8602.2,AT,Austria
3,30--34,Both,1980,520,AT,Austria
1,5--9,Both,2075,251.7,AT,Austria
1,15--19,Both,2050,322.3,AT,Austria
1,25--29,Both,2025,493.2,AT,Austria
2,60--64,Both,2060,553.2,AT,Austria
1,35--39,Both,2000,714.1,AT,Austria
1,45--49,Both,1975,453.2,AT,Austria
1,55--59,Both,1950,401.7,AT,Austria
2,90--94,Both,1985,15.4,AT,Austria
3,25--29,Male,1995,351.5,AT,Austria
3,35--39,Male,1970,217.4,AT,Austria
2,45--49,Male,2100,291,AT,Austria
1,10--14,Male,2065,149.8,AT,Austria
3,100+,Male,2085,4.3,AT,Austria
2,65--69,Male,2050,290.9,AT,Austria
3,0--4,Female,2060,220.9,AT,Austria
3,10--14,Female,2035,223.6,AT,Austria
3,20--24,Female,2010,255.9,AT,Austria
2,95--99,Male,1975,0.4,AT,Austria
3,30--34,Female,1985,245.2,AT,Austria
3,40--44,Female,1960,189.3,AT,Austria
2,50--54,Female,2090,271.9,AT,Austria
1,15--19,Female,2055,150.9,AT,Austria
2,60--64,Female,2065,264,AT,Austria
2,70--74,Female,2040,332.5,AT,Austria
2,80--84,Female,2015,129.3,AT,Austria
1,45--49,Female,1980,210.9,AT,Austria
2,90--94,Female,1990,16,AT,Austria
2,100+,Female,1965,0,AT,Austria
1,0--4,Both,2100,206.9,AT,Austria
3,35--39,Both,1980,563.1,AT,Austria
1,10--14,Both,2075,269.7,AT,Austria
1,20--24,Both,2050,361.1,AT,Austria
1,30--34,Both,2025,599.3,AT,Austria
2,65--69,Both,2060,617.9,AT,Austria
1,40--44,Both,2000,621.9,AT,Austria
1,50--54,Both,1975,470,AT,Austria
1,60--64,Both,1950,349.5,AT,Austria
2,95--99,Both,1985,2.1,AT,Austria
3,30--34,Male,1995,363.1,AT,Austria
3,40--44,Male,1970,221.9,AT,Austria
2,50--54,Male,2100,288.1,AT,Austria
1,15--19,Male,2065,155.5,AT,Austria
3,All,Female,2085,3890.7,AT,Austria
2,70--74,Male,2050,248.8,AT,Austria
3,5--9,Female,2060,217.6,AT,Austria
3,15--19,Female,2035,216,AT,Austria
3,25--29,Female,2010,275.6,AT,Austria
2,100+,Male,1975,0,AT,Austria
3,35--39,Female,1985,257.4,AT,Austria
3,45--49,Female,1960,265.7,AT,Austria
2,55--59,Female,2090,275.4,AT,Austria
1,20--24,Female,2055,164.9,AT,Austria
2,65--69,Female,2065,274.9,AT,Austria
2,75--79,Female,2040,310.2,AT,Austria
2,85--89,Female,2015,97.8,AT,Austria
1,50--54,Female,1980,230.7,AT,Austria
2,95--99,Female,1990,2.3,AT,Austria
2,All,Both,1970,7511.8,AT,Austria
1,5--9,Both,2100,224.9,AT,Austria
3,40--44,Both,1980,488.3,AT,Austria
1,15--19,Both,2075,286.8,AT,Austria
1,25--29,Both,2050,423.4,AT,Austria
1,35--39,Both,2025,612.7,AT,Austria
2,70--74,Both,2060,597.7,AT,Austria
1,45--49,Both,2000,504.7,AT,Austria
1,55--59,Both,1975,305.2,AT,Austria
1,65--69,Both,1950,289.2,AT,Austria
2,100+,Both,1985,0.2,AT,Austria
3,35--39,Male,1995,316.2,AT,Austria
3,45--49,Male,1970,202.7,AT,Austria
2,55--59,Male,2100,282,AT,Austria
1,20--24,Male,2065,163.2,AT,Austria
3,0--4,Female,2085,221.2,AT,Austria
2,75--79,Male,2050,246.6,AT,Austria
3,10--14,Female,2060,208.6,AT,Austria
3,20--24,Female,2035,201.6,AT,Austria
3,30--34,Female,2010,263.8,AT,Austria
2,All,Female,1975,4031.5,AT,Austria
3,40--44,Female,1985,279.3,AT,Austria
3,50--54,Female,1960,280,AT,Austria
2,60--64,Female,2090,282.5,AT,Austria
1,25--29,Female,2055,193.7,AT,Austria
2,70--74,Female,2065,309.2,AT,Austria
2,80--84,Female,2040,241.6,AT,Austria
2,90--94,Female,2015,49.7,AT,Austria
1,55--59,Female,1980,266,AT,Austria
2,100+,Female,1990,0.2,AT,Austria
2,0--4,Both,1970,622.9,AT,Austria
1,10--14,Both,2100,238.6,AT,Austria
3,45--49,Both,1980,422.2,AT,Austria
1,20--24,Both,2075,311.8,AT,Austria
1,30--34,Both,2050,477.6,AT,Austria
1,40--44,Both,2025,615.2,AT,Austria
2,75--79,Both,2060,565.6,AT,Austria
1,50--54,Both,2000,492.2,AT,Austria
1,60--64,Both,1975,411.6,AT,Austria
1,70--74,Both,1950,219.2,AT,Austria
2,All,Male,1985,3614.4,AT,Austria
3,40--44,Male,1995,255.7,AT,Austria
3,50--54,Male,1970,133.1,AT,Austria
2,60--64,Male,2100,278.9,AT,Austria
1,25--29,Male,2065,181.5,AT,Austria
3,5--9,Female,2085,214.4,AT,Austria
2,80--84,Male,2050,249.2,AT,Austria
3,15--19,Female,2060,200,AT,Austria
3,25--29,Female,2035,197.9,AT,Austria
3,35--39,Female,2010,297.7,AT,Austria
2,0--4,Female,1975,248.4,AT,Austria
3,45--49,Female,1985,242,AT,Austria
3,55--59,Female,1960,267.1,AT,Austria
2,65--69,Female,2090,287,AT,Austria
1,30--34,Female,2055,222.8,AT,Austria
2,75--79,Female,2065,303.3,AT,Austria
2,85--89,Female,2040,152,AT,Austria
2,95--99,Female,2015,7.5,AT,Austria
1,60--64,Female,1980,171.3,AT,Austria
2,All,Both,1995,7974.9,AT,Austria
2,5--9,Both,1970,646.2,AT,Austria
1,15--19,Both,2100,248.4,AT,Austria
3,50--54,Both,1980,440.6,AT,Austria
1,25--29,Both,2075,350.6,AT,Austria
1,35--39,Both,2050,518.4,AT,Austria
1,45--49,Both,2025,557.3,AT,Austria
2,80--84,Both,2060,466.8,AT,Austria
1,55--59,Both,2000,506.2,AT,Austria
1,65--69,Both,1975,400.2,AT,Austria
1,75--79,Both,1950,131.9,AT,Austria
2,0--4,Male,1985,226.5,AT,Austria
3,45--49,Male,1995,250.9,AT,Austria
3,55--59,Male,1970,187.7,AT,Austria
2,65--69,Male,2100,280.7,AT,Austria
1,30--34,Male,2065,202.9,AT,Austria
3,10--14,Female,2085,210.6,AT,Austria
2,85--89,Male,2050,179.8,AT,Austria
3,20--24,Female,2060,198.6,AT,Austria
3,30--34,Female,2035,205.9,AT,Austria
3,40--44,Female,2010,351.6,AT,Austria
2,5--9,Female,1975,305.2,AT,Austria
3,50--54,Female,1985,207.6,AT,Austria
3,60--64,Female,1960,238,AT,Austria
2,70--74,Female,2090,283.7,AT,Austria
1,35--39,Female,2055,245.1,AT,Austria
2,80--84,Female,2065,286.9,AT,Austria
2,90--94,Female,2040,83.3,AT,Austria
2,100+,Female,2015,1.1,AT,Austria
1,65--69,Female,1980,224,AT,Austria
2,0--4,Both,1995,472.4,AT,Austria
2,10--14,Both,1970,578.8,AT,Austria
1,20--24,Both,2100,264.1,AT,Austria
3,55--59,Both,1980,450.8,AT,Austria
1,30--34,Both,2075,381.7,AT,Austria
1,40--44,Both,2050,512,AT,Austria
1,50--54,Both,2025,602.1,AT,Austria
2,85--89,Both,2060,413.8,AT,Austria
1,60--64,Both,2000,412.8,AT,Austria
1,70--74,Both,1975,329.5,AT,Austria
1,80--84,Both,1950,59.5,AT,Austria
2,5--9,Male,1985,220.4,AT,Austria
3,50--54,Male,1995,257.6,AT,Austria
3,60--64,Male,1970,191.6,AT,Austria
2,70--74,Male,2100,286.3,AT,Austria
1,35--39,Male,2065,225.7,AT,Austria
3,15--19,Female,2085,212.2,AT,Austria
2,90--94,Male,2050,80.5,AT,Austria
3,25--29,Female,2060,206.7,AT,Austria
3,35--39,Female,2035,229.6,AT,Austria
3,45--49,Female,2010,349.6,AT,Austria
2,10--14,Female,1975,316.5,AT,Austria
3,55--59,Female,1985,224.9,AT,Austria
3,65--69,Female,1960,193.9,AT,Austria
2,75--79,Female,2090,274.8,AT,Austria
1,40--44,Female,2055,260.5,AT,Austria
2,85--89,Female,2065,228.7,AT,Austria
2,95--99,Female,2040,28.6,AT,Austria
2,All,Both,2020,8787.5,AT,Austria
1,70--74,Female,1980,208.9,AT,Austria
2,5--9,Both,1995,465.4,AT,Austria
2,15--19,Both,1970,485.4,AT,Austria
1,25--29,Both,2100,295.8,AT,Austria
3,60--64,Both,1980,286.3,AT,Austria
1,35--39,Both,2075,406,AT,Austria
1,45--49,Both,2050,522.1,AT,Austria
1,55--59,Both,2025,699.1,AT,Austria
2,90--94,Both,2060,310.2,AT,Austria
1,65--69,Both,2000,335.5,AT,Austria
1,75--79,Both,1975,219.2,AT,Austria
1,85--89,Both,1950,19,AT,Austria
2,10--14,Male,1985,259.4,AT,Austria
3,55--59,Male,1995,210.1,AT,Austria
3,65--69,Male,1970,168.5,AT,Austria
2,75--79,Male,2100,286.9,AT,Austria
1,40--44,Male,2065,246.1,AT,Austria
3,20--24,Female,2085,217.4,AT,Austria
2,95--99,Male,2050,19.4,AT,Austria
3,30--34,Female,2060,218.8,AT,Austria
3,40--44,Female,2035,280.6,AT,Austria
3,50--54,Female,2010,305.6,AT,Austria
2,15--19,Female,1975,285.4,AT,Austria
3,60--64,Female,1985,255.4,AT,Austria
3,70--74,Female,1960,151.6,AT,Austria
2,80--84,Female,2090,263.3,AT,Austria
1,45--49,Female,2055,255.6,AT,Austria
2,90--94,Female,2065,180.1,AT,Austria
2,100+,Female,2040,3.6,AT,Austria
2,0--4,Both,2020,412.1,AT,Austria
1,75--79,Female,1980,158.6,AT,Austria
2,10--14,Both,1995,477.9,AT,Austria
2,20--24,Both,1970,509.9,AT,Austria
1,30--34,Both,2100,328.8,AT,Austria
3,65--69,Both,1980,371.1,AT,Austria
1,40--44,Both,2075,432,AT,Austria
1,50--54,Both,2050,556,AT,Austria
1,60--64,Both,2025,676.6,AT,Austria
2,95--99,Both,2060,121.5,AT,Austria
1,70--74,Both,2000,330.9,AT,Austria
1,80--84,Both,1975,114.1,AT,Austria
1,90--94,Both,1950,3.4,AT,Austria
2,15--19,Male,1985,317.6,AT,Austria
3,60--64,Male,1995,171.6,AT,Austria
3,70--74,Male,1970,114.6,AT,Austria
2,80--84,Male,2100,277.7,AT,Austria
1,45--49,Male,2065,261.7,AT,Austria
3,25--29,Female,2085,220.7,AT,Austria
2,100+,Male,2050,2.4,AT,Austria
3,35--39,Female,2060,222.9,AT,Austria
3,45--49,Female,2035,292.4,AT,Austria
3,55--59,Female,2010,247.9,AT,Austria
2,20--24,Female,1975,244.4,AT,Austria
3,65--69,Female,1985,160.3,AT,Austria
3,75--79,Female,1960,101.6,AT,Austria
2,85--89,Female,2090,256.1,AT,Austria
1,50--54,Female,2055,260.3,AT,Austria
2,95--99,Female,2065,97.8,AT,Austria
2,All,Both,2045,9235.1,AT,Austria
2,5--9,Both,2020,417,AT,Austria
1,80--84,Female,1980,93.2,AT,Austria
2,15--19,Both,1995,459.1,AT,Austria
2,25--29,Both,1970,557.4,AT,Austria
1,35--39,Both,2100,358.3,AT,Austria
3,70--74,Both,1980,335.9,AT,Austria
1,45--49,Both,2075,464.5,AT,Austria
1,55--59,Both,2050,633,AT,Austria
1,65--69,Both,2025,564.4,AT,Austria
2,100+,Both,2060,19.2,AT,Austria
1,75--79,Both,2000,292.5,AT,Austria
1,85--89,Both,1975,45.6,AT,Austria
1,95--99,Both,1950,0.3,AT,Austria
2,20--24,Male,1985,327,AT,Austria
3,65--69,Male,1995,161.9,AT,Austria
3,75--79,Male,1970,65.2,AT,Austria
2,85--89,Male,2100,255.8,AT,Austria
1,50--54,Male,2065,275.3,AT,Austria
3,30--34,Female,2085,217.3,AT,Austria
2,All,Female,2050,4734.3,AT,Austria
3,40--44,Female,2060,215,AT,Austria
3,50--54,Female,2035,297,AT,Austria
3,60--64,Female,2010,237.5,AT,Austria
